Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2022-01-07 14:20:36 UTC,2,Shvas Rune,,,0.005790835109709864750020535951,USD,42.95174692716781095214173547,usd,cost,NFT 51335 meditate,0x8487459721817b2677a45a54ecec87df435c8d2e1511c8c02b71325b93355891,
2022-01-07 14:20:36 UTC,0.200,Jewel,,,0,USD,3.983339370172169680017759674,usd,cost,NFT 51335 levelup,0x8487459721817b2677a45a54ecec87df435c8d2e1511c8c02b71325b93355891,
2022-01-07 14:24:04 UTC,2,Shvas Rune,,,0.005790835109709864750020535951,USD,42.95174692716781095214173547,usd,cost,NFT 30532 meditate,0x9ab280fe1e863f6be1c192f179f6a8d03e5caee17f10bf9b578f5b515b3a1b8d,
2022-01-07 14:24:04 UTC,0.200,Jewel,,,0,USD,3.983339370172169680017759674,usd,cost,NFT 30532 levelup,0x9ab280fe1e863f6be1c192f179f6a8d03e5caee17f10bf9b578f5b515b3a1b8d,
2022-01-07 14:49:38 UTC,2,Shvas Rune,,,0.005790835109709864750020535951,USD,42.95174692716781095214173547,usd,cost,NFT 24170 meditate,0x9147a3d0f01f2c8df2068771212ffc506205751fd85d77baee03f6a709c8f464,
2022-01-07 14:49:38 UTC,0.200,Jewel,,,0,USD,3.983339370172169680017759674,usd,cost,NFT 24170 levelup,0x9147a3d0f01f2c8df2068771212ffc506205751fd85d77baee03f6a709c8f464,
2022-01-07 17:10:18 UTC,2,Shvas Rune,,,0.005790724334039190693459442372,USD,42.95174692716781095214173547,usd,cost,NFT 44341 meditate,0xd603e6714b2fbf266ac407c4a0b1b3b980f76b8a3755254e23bec9561365761c,
2022-01-07 17:10:18 UTC,0.200,Jewel,,,0,USD,3.983339370172169680017759674,usd,cost,NFT 44341 levelup,0xd603e6714b2fbf266ac407c4a0b1b3b980f76b8a3755254e23bec9561365761c,
2022-01-07 17:13:32 UTC,2,Shvas Rune,,,0.005790724334039190693459442372,USD,42.95174692716781095214173547,usd,cost,NFT 47601 meditate,0x047dfd267f90a5108936f4f725c4a07aebc6932bc1623d570b393ce15780a448,
2022-01-07 17:13:32 UTC,0.200,Jewel,,,0,USD,3.983339370172169680017759674,usd,cost,NFT 47601 levelup,0x047dfd267f90a5108936f4f725c4a07aebc6932bc1623d570b393ce15780a448,
2022-01-07 17:19:28 UTC,2,Shvas Rune,,,0.005790724334039190693459442372,USD,42.95174692716781095214173547,usd,cost,NFT 53449 meditate,0x984f63c32ebd9557fdbd807737563a0c4e3dbaeb3a9ae4cc1fe4c0da5af8258d,
2022-01-07 17:19:28 UTC,0.200,Jewel,,,0,USD,3.983339370172169680017759674,usd,cost,NFT 53449 levelup,0x984f63c32ebd9557fdbd807737563a0c4e3dbaeb3a9ae4cc1fe4c0da5af8258d,
2022-01-07 17:27:14 UTC,2,Shvas Rune,,,0.005790724334039190693459442372,USD,42.95174692716781095214173547,usd,cost,NFT 36323 meditate,0x99cfd949283505b045e1b92214832476bc4ae432af154b51f7206f3090334a1c,
2022-01-07 17:27:14 UTC,0.200,Jewel,,,0,USD,3.983339370172169680017759674,usd,cost,NFT 36323 levelup,0x99cfd949283505b045e1b92214832476bc4ae432af154b51f7206f3090334a1c,
2022-01-07 23:09:17 UTC,2,Shvas Rune,,,0.005051189439868997368750377206,USD,42.95174692716781095214173547,usd,cost,NFT 44757 meditate,0x8ea61291349a2326661d1317d9a89ad56c39c7c45e886c75ad6448dee50b413f,
2022-01-07 23:09:17 UTC,0.200,Jewel,,,0,USD,3.983339370172169680017759674,usd,cost,NFT 44757 levelup,0x8ea61291349a2326661d1317d9a89ad56c39c7c45e886c75ad6448dee50b413f,
2022-01-07 23:12:54 UTC,2,Shvas Rune,,,0.005051092813236171134630357241,USD,42.95174692716781095214173547,usd,cost,NFT 51338 meditate,0xbf26a7e042d4bd15d259f175a76548fc2b3d1193d59696e44448c00b5d9184bc,
2022-01-07 23:12:54 UTC,0.200,Jewel,,,0,USD,3.983339370172169680017759674,usd,cost,NFT 51338 levelup,0xbf26a7e042d4bd15d259f175a76548fc2b3d1193d59696e44448c00b5d9184bc,
2022-01-25 19:51:54 UTC,2,Shvas Rune,,,0.003598261626916736275211550211,USD,0.1757754075150446959607819508,usd,cost,NFT 44757 meditate,0xafb7248d197068aca3728ab41425410efd25541df183d0b3d5546be8e70bcacd,
2022-01-25 19:51:54 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 44757 levelup,0xafb7248d197068aca3728ab41425410efd25541df183d0b3d5546be8e70bcacd,
2022-01-25 19:55:35 UTC,2,Shvas Rune,,,0.003598261626916736275211550211,USD,0.1757754075150446959607819508,usd,cost,NFT 32898 meditate,0x364486be6fcbb56fa7553dcc02d4c88cdd2e25a72aac9d625ed445452fd9ee68,
2022-01-25 19:55:35 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 32898 levelup,0x364486be6fcbb56fa7553dcc02d4c88cdd2e25a72aac9d625ed445452fd9ee68,
2022-01-25 20:07:27 UTC,2,Shvas Rune,,,0.003718203680907410042590819466,USD,0.1757754075150446959607819508,usd,cost,NFT 30179 meditate,0xd1b6e65f025d3794446bffd717f69ae3a1e029d0c41dad835409aa2f2315648b,
2022-01-25 20:07:27 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 30179 levelup,0xd1b6e65f025d3794446bffd717f69ae3a1e029d0c41dad835409aa2f2315648b,
2022-01-25 20:13:38 UTC,2,Shvas Rune,,,0.003718203681027352096821377342,USD,0.1757754075150446959607819508,usd,cost,NFT 38442 meditate,0x80d14d0d99b3a0a1be4729d3c8adaee03b0ee8d291367fe5e71ed66bedb99355,
